Accession,Species,Genus,Family,Length,Country
AP019076,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,168147,Japan
JQ513462,Human metapneumovirus,Metapneumovirus,Pneumoviridae,711,Greece
JQ513470,Human metapneumovirus,Metapneumovirus,Pneumoviridae,711,Greece
MF288663,Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,7857,Netherlands
MF288670,Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,7831,Netherlands
MF288698,Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,7857,Netherlands
KJ170610,Enterovirus C,Enterovirus,Picornaviridae,7379,Nigeria
MF288703,Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,7857,Netherlands
HQ700477,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,New Zealand
HQ325832,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1497,Australia
MF288716,Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,7857,Netherlands
JF766575,Rotavirus A,Rotavirus,Reoviridae,1070,South Korea
KJ870914,Rotavirus A,Rotavirus,Reoviridae,2359,Democratic Republic of the Congo
MK453523,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15198,USA
KJ854689,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Brazil
KJ854692,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Brazil
KF214665,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,India
KF214674,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3217,India
HQ171194,SFTS phlebovirus,Phlebovirus,Phenuiviridae,1746,China
MN369041,Rhinovirus B,Enterovirus,Picornaviridae,7206,USA
MN525276,Norwalk virus,Norovirus,Caliciviridae,7576,Brazil
HM011476,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Malaysia
KC238667,Enterovirus B,Enterovirus,Picornaviridae,7453,
EF643017,Dengue virus,Flavivirus,Flaviviridae,10707,Brazil
FJ194964,Enterovirus A,Enterovirus,Picornaviridae,7405,China
MH910665,Human mastadenovirus B,Mastadenovirus,Adenoviridae,35238,USA
EU587372,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1442,USA
EU587373,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,984,USA
MN211304,Yellow fever virus,Flavivirus,Flaviviridae,10734,Nigeria
EU747320,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Australia
EU596492,Dengue virus,Flavivirus,Flaviviridae,10648,USA
EF456779,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,2252,Hong Kong
MK028135,Enterovirus A,Enterovirus,Picornaviridae,7401,China
MN211310,Yellow fever virus,Flavivirus,Flaviviridae,10656,Nigeria
MH043136,Enterovirus B,Enterovirus,Picornaviridae,7441,Finland
EU783920,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2307,USA
MK551552,Chikungunya virus,Alphavirus,Togaviridae,11405,India
MK524360,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1745,China
DQ256376,West Nile virus,Flavivirus,Flaviviridae,11014,India
MK787191,Rubella virus,Rubivirus,Matonaviridae,9762,USA
KU762419,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,982,USA
DQ380184,Rift Valley fever phlebovirus,Phlebovirus,Phenuiviridae,3885,Mauritania
MN480793,West Nile virus,Flavivirus,Flaviviridae,10926,Greece
MN480792,West Nile virus,Flavivirus,Flaviviridae,10926,Greece
AY423385,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8981,Netherlands
DQ380169,Rift Valley fever phlebovirus,Phlebovirus,Phenuiviridae,1690,Kenya
DQ005122,Rotavirus A,Rotavirus,Reoviridae,2359,Democratic Republic of the Congo
MN246003,Enterovirus D,Enterovirus,Picornaviridae,7324,USA
MN245986,Enterovirus D,Enterovirus,Picornaviridae,7324,USA
MN240517,Enterovirus D,Enterovirus,Picornaviridae,7333,USA
MN240516,Enterovirus D,Enterovirus,Picornaviridae,7341,USA
MN240512,Enterovirus D,Enterovirus,Picornaviridae,7341,USA
MN240509,Enterovirus D,Enterovirus,Picornaviridae,7333,USA
MN240495,Enterovirus D,Enterovirus,Picornaviridae,7341,USA
MN369042,Rhinovirus A,Enterovirus,Picornaviridae,7020,USA
MN369034,Human rubulavirus 2,Rubulavirus,Paramyxoviridae,15631,USA
MN369033,Rhinovirus C,Enterovirus,Picornaviridae,7120,USA
KC478986,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1565,Canada
MK513932,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,3378,China
MK513913,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1745,China
KF878079,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,15355,United Kingdom
MN259119,Enterovirus D,Enterovirus,Picornaviridae,7321,USA
MN124512,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8966,China
AY876494,Dengue virus,Flavivirus,Flaviviridae,10707,Thailand
FJ639733,Dengue virus,Flavivirus,Flaviviridae,10670,Venezuela
FJ547081,Dengue virus,Flavivirus,Flaviviridae,10648,USA
FJ547085,Dengue virus,Flavivirus,Flaviviridae,10648,USA
EU382992,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1462,China
KY249670,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15274,United Kingdom
KU562893,Rotavirus B,Rotavirus,Reoviridae,751,Bangladesh
MK796425,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30108,South Korea
KY249682,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15226,United Kingdom
MK163942,Adeno-associated virus,Dependoparvovirus,Parvoviridae,4554,France
KR919820,Dengue virus,Flavivirus,Flaviviridae,10724,Brunei
KR919821,Dengue virus,Flavivirus,Flaviviridae,10735,Australia
KY249683,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15223,United Kingdom
KU562876,Rotavirus B,Rotavirus,Reoviridae,2306,Bangladesh
KJ678783,Hepacivirus C,Hepacivirus,Flaviviridae,9403,China
JX894238,Mumps rubulavirus,Rubulavirus,Paramyxoviridae,316,India
MH546113,Human mastadenovirus B,Mastadenovirus,Adenoviridae,34724,USA
KC522034,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8902,Malaysia
KJ160504,Dengue virus,Flavivirus,Flaviviridae,10650,Sri Lanka
KF667360,Enterovirus C,Enterovirus,Picornaviridae,7459,India
KM007161,Human polyomavirus 8,Alphapolyomavirus,Polyomaviridae,5235,Brazil
KJ678785,Hepacivirus C,Hepacivirus,Flaviviridae,9430,China
KJ678775,Hepacivirus C,Hepacivirus,Flaviviridae,9399,Canada
MK313778,Alphapapillomavirus 10,Alphapapillomavirus,Papillomaviridae,8012,Hungary
MK313777,Alphapapillomavirus 10,Alphapapillomavirus,Papillomaviridae,8012,Hungary
MH329294,Chikungunya virus,Alphavirus,Togaviridae,11709,Colombia
MK139485,TTV-like mini virus,Betatorquevirus,Anelloviridae,2915,Viet Nam
MN030568,Measles morbillivirus,Morbillivirus,Paramyxoviridae,450,Iran
MK904589,Parechovirus A,Parechovirus,Picornaviridae,7292,Brazil
KJ678790,Hepacivirus C,Hepacivirus,Flaviviridae,9360,Viet Nam
KJ678787,Hepacivirus C,Hepacivirus,Flaviviridae,9430,Viet Nam
FJ386608,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MK573238,Mayaro virus,Alphavirus,Togaviridae,11224,Brazil
MK573239,Mayaro virus,Alphavirus,Togaviridae,11224,Brazil
MK628732,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Bangladesh
MN090301,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8959,USA
KU509283,Dengue virus,Flavivirus,Flaviviridae,10336,Sri Lanka
JX458829,Marburg marburgvirus,Marburgvirus,Filoviridae,19114,Democratic Republic of the Congo
FJ386613,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KJ678798,Hepacivirus C,Hepacivirus,Flaviviridae,9426,Viet Nam
KJ678795,Hepacivirus C,Hepacivirus,Flaviviridae,9443,Viet Nam
KJ678789,Hepacivirus C,Hepacivirus,Flaviviridae,9462,Viet Nam
FJ386588,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KJ678750,Hepacivirus C,Hepacivirus,Flaviviridae,9429,China
KJ678751,Hepacivirus C,Hepacivirus,Flaviviridae,9422,China
KJ678747,Hepacivirus C,Hepacivirus,Flaviviridae,9435,China
FJ386578,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
KJ678788,Hepacivirus C,Hepacivirus,Flaviviridae,9442,Viet Nam
KJ678755,Hepacivirus C,Hepacivirus,Flaviviridae,9427,China
KJ678748,Hepacivirus C,Hepacivirus,Flaviviridae,9401,China
KJ678793,Hepacivirus C,Hepacivirus,Flaviviridae,9360,Viet Nam
FJ386601,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
EU155327,Hepacivirus C,Hepacivirus,Flaviviridae,9320,USA
MH724248,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Brazil
JX126913,Norwalk virus,Norovirus,Caliciviridae,7559,USA
MH724252,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Brazil
MH330369,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8995,Russia
EU155289,Hepacivirus C,Hepacivirus,Flaviviridae,9399,USA
DQ188974,Caraparu orthobunyavirus,Orthobunyavirus,Peribunyaviridae,705,Brazil
MF973163,Human respirovirus 3,Respirovirus,Paramyxoviridae,15344,USA
EU529677,Hepacivirus C,Hepacivirus,Flaviviridae,9305,USA
FJ349229,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Belgium
FJ410173,Dengue virus,Flavivirus,Flaviviridae,10690,USA
FJ410272,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ410218,Dengue virus,Flavivirus,Flaviviridae,10676,Viet Nam
FJ410257,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ410265,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ024465,Dengue virus,Flavivirus,Flaviviridae,10648,USA
FJ744709,Dengue virus,Flavivirus,Flaviviridae,10640,Nicaragua
FJ390380,Dengue virus,Flavivirus,Flaviviridae,10690,USA
FJ410212,Dengue virus,Flavivirus,Flaviviridae,10672,Viet Nam
FJ432747,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ410203,Dengue virus,Flavivirus,Flaviviridae,10686,Viet Nam
FJ182023,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ024450,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ182021,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ373306,Dengue virus,Flavivirus,Flaviviridae,10648,USA
FJ024447,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ432739,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ410192,Dengue virus,Flavivirus,Flaviviridae,10658,Viet Nam
FJ024452,Dengue virus,Flavivirus,Flaviviridae,10678,Viet Nam
EU482762,Dengue virus,Flavivirus,Flaviviridae,10678,Nicaragua
EU482687,Dengue virus,Flavivirus,Flaviviridae,10679,Nicaragua
FJ182003,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ182011,Dengue virus,Flavivirus,Flaviviridae,10650,USA
FJ182006,Dengue virus,Flavivirus,Flaviviridae,10648,USA
FJ205874,Dengue virus,Flavivirus,Flaviviridae,10690,USA
EU482694,Dengue virus,Flavivirus,Flaviviridae,10680,Nicaragua
MH891766,Dengue virus,Flavivirus,Flaviviridae,10764,India
HQ700522,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Papua New Guinea
FJ547083,Dengue virus,Flavivirus,Flaviviridae,10649,USA
FJ639798,Dengue virus,Flavivirus,Flaviviridae,10648,Venezuela
FJ547082,Dengue virus,Flavivirus,Flaviviridae,10648,USA
JF828927,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3214,South Korea
FJ850076,Dengue virus,Flavivirus,Flaviviridae,10663,Brazil
FJ744734,Dengue virus,Flavivirus,Flaviviridae,10663,Thailand
FJ744726,Dengue virus,Flavivirus,Flaviviridae,10649,Thailand
FJ744735,Dengue virus,Flavivirus,Flaviviridae,10645,Thailand
FJ687446,Dengue virus,Flavivirus,Flaviviridae,10679,Thailand
JQ173157,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1523,Finland
FJ410286,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ410226,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ850048,Dengue virus,Flavivirus,Flaviviridae,10652,Nicaragua
FJ850074,Dengue virus,Flavivirus,Flaviviridae,10678,Brazil
EU643590,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,11923,China
GQ868530,Dengue virus,Flavivirus,Flaviviridae,10662,Mexico
FJ639700,Dengue virus,Flavivirus,Flaviviridae,10679,Cambodia
FJ639706,Dengue virus,Flavivirus,Flaviviridae,10677,Cambodia
FJ461327,Dengue virus,Flavivirus,Flaviviridae,10676,Viet Nam
FJ639754,Dengue virus,Flavivirus,Flaviviridae,10648,Venezuela
FJ461324,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ639764,Dengue virus,Flavivirus,Flaviviridae,10566,Venezuela
FJ547074,Dengue virus,Flavivirus,Flaviviridae,10648,USA
FJ639747,Dengue virus,Flavivirus,Flaviviridae,10648,Venezuela
FJ639794,Dengue virus,Flavivirus,Flaviviridae,10676,Venezuela
FJ639753,Dengue virus,Flavivirus,Flaviviridae,10647,Venezuela
FJ639806,Dengue virus,Flavivirus,Flaviviridae,10685,Venezuela
FJ461310,Dengue virus,Flavivirus,Flaviviridae,10676,Viet Nam
FJ639748,Dengue virus,Flavivirus,Flaviviridae,10551,Venezuela
FJ850092,Dengue virus,Flavivirus,Flaviviridae,10648,Brazil
FJ850066,Dengue virus,Flavivirus,Flaviviridae,10679,Nicaragua
FJ850059,Dengue virus,Flavivirus,Flaviviridae,10606,USA
FJ850111,Dengue virus,Flavivirus,Flaviviridae,10663,Venezuela
GQ199887,Dengue virus,Flavivirus,Flaviviridae,10663,Sri Lanka
FJ904425,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3179,Tunisia
EU482771,Dengue virus,Flavivirus,Flaviviridae,10679,Nicaragua
EU482761,Dengue virus,Flavivirus,Flaviviridae,10679,Nicaragua
FJ024445,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ205885,Dengue virus,Flavivirus,Flaviviridae,10680,Nicaragua
EU482754,Dengue virus,Flavivirus,Flaviviridae,10668,Nicaragua
HQ700473,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,New Zealand
EU482688,Dengue virus,Flavivirus,Flaviviridae,10678,Nicaragua
EU482689,Dengue virus,Flavivirus,Flaviviridae,10680,Nicaragua
JQ431382,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2280,France
EU482546,Dengue virus,Flavivirus,Flaviviridae,10678,USA
EU482588,Dengue virus,Flavivirus,Flaviviridae,10678,USA
EU482453,Dengue virus,Flavivirus,Flaviviridae,10653,Viet Nam
EU726782,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
EU482457,Dengue virus,Flavivirus,Flaviviridae,10663,Viet Nam
EU482533,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
EU482527,Dengue virus,Flavivirus,Flaviviridae,10688,Viet Nam
EU726780,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
EU482452,Dengue virus,Flavivirus,Flaviviridae,10664,Viet Nam
EU482683,Dengue virus,Flavivirus,Flaviviridae,10680,Nicaragua
FJ182008,Dengue virus,Flavivirus,Flaviviridae,10648,USA
KX064303,Enterovirus A,Enterovirus,Picornaviridae,7433,China
GU550508,Enterovirus B,Enterovirus,Picornaviridae,7394,China
HM181952,Dengue virus,Flavivirus,Flaviviridae,10684,Cambodia
GQ475328,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,South Korea
HM756274,Dengue virus,Flavivirus,Flaviviridae,10537,Nicaragua
GQ377619,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
GQ377540,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
GU131975,Dengue virus,Flavivirus,Flaviviridae,10668,Mexico
JQ431268,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1410,France
JQ431261,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1410,France
GQ377627,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,China
GQ477494,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Poland
GQ377617,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
GQ377583,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
GQ377630,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
JQ431229,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,982,France
JQ431224,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,982,France
LC511112,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7906,Japan
JQ431306,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1497,France
JQ431310,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,France
JQ431299,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1497,France
JQ431273,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1410,France
JF730044,Dengue virus,Flavivirus,Flaviviridae,10475,Cambodia
JF920404,Dengue virus,Flavivirus,Flaviviridae,10681,Nicaragua
JF920400,Dengue virus,Flavivirus,Flaviviridae,10681,Nicaragua
JF937639,Dengue virus,Flavivirus,Flaviviridae,10644,Nicaragua
JF937635,Dengue virus,Flavivirus,Flaviviridae,10465,Nicaragua
JF937631,Dengue virus,Flavivirus,Flaviviridae,10583,Nicaragua
JF937624,Dengue virus,Flavivirus,Flaviviridae,10681,Nicaragua
JF937617,Dengue virus,Flavivirus,Flaviviridae,10454,Viet Nam
GU456663,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Iran
GU456658,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Iran
AY878072,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9047,South Africa
JN635290,Rubella virus,Rubivirus,Matonaviridae,9760,USA
FJ873813,Dengue virus,Flavivirus,Flaviviridae,10637,Nicaragua
FJ882565,Dengue virus,Flavivirus,Flaviviridae,10674,Viet Nam
FJ882566,Dengue virus,Flavivirus,Flaviviridae,10688,Viet Nam
FJ873810,Dengue virus,Flavivirus,Flaviviridae,10690,Venezuela
FJ859028,Dengue virus,Flavivirus,Flaviviridae,10663,Viet Nam
FJ882558,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ898470,Dengue virus,Flavivirus,Flaviviridae,10663,Venezuela
FJ898473,Dengue virus,Flavivirus,Flaviviridae,10663,Venezuela
FJ882540,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ882525,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ882573,Dengue virus,Flavivirus,Flaviviridae,10663,Sri Lanka
FJ547080,Dengue virus,Flavivirus,Flaviviridae,10648,USA
EU482559,Dengue virus,Flavivirus,Flaviviridae,10648,USA
FJ639722,Dengue virus,Flavivirus,Flaviviridae,10648,Cambodia
FJ639814,Dengue virus,Flavivirus,Flaviviridae,10677,Venezuela
FJ639712,Dengue virus,Flavivirus,Flaviviridae,10643,Cambodia
FJ562104,Dengue virus,Flavivirus,Flaviviridae,10688,Nicaragua
FJ639705,Dengue virus,Flavivirus,Flaviviridae,10678,Cambodia
EU482627,Dengue virus,Flavivirus,Flaviviridae,10680,Nicaragua
EU687234,Dengue virus,Flavivirus,Flaviviridae,10645,USA
EU687237,Dengue virus,Flavivirus,Flaviviridae,10678,USA
EU687221,Dengue virus,Flavivirus,Flaviviridae,10648,USA
FJ882561,Dengue virus,Flavivirus,Flaviviridae,10676,Viet Nam
FJ639789,Dengue virus,Flavivirus,Flaviviridae,10650,Venezuela
FJ882574,Dengue virus,Flavivirus,Flaviviridae,10651,Sri Lanka
FJ873812,Dengue virus,Flavivirus,Flaviviridae,10638,Nicaragua
FJ882515,Dengue virus,Flavivirus,Flaviviridae,10688,Viet Nam
FJ882572,Dengue virus,Flavivirus,Flaviviridae,10663,Sri Lanka
FJ639774,Dengue virus,Flavivirus,Flaviviridae,10647,Venezuela
FJ639768,Dengue virus,Flavivirus,Flaviviridae,10648,Venezuela
FJ906959,Dengue virus,Flavivirus,Flaviviridae,10678,Papua New Guinea
EU482708,Dengue virus,Flavivirus,Flaviviridae,10690,Viet Nam
FJ547062,Dengue virus,Flavivirus,Flaviviridae,10638,Viet Nam
HM006715,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,China
FJ349241,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Belgium
HM006714,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,China
GU131980,Dengue virus,Flavivirus,Flaviviridae,10608,Mexico
GQ323774,Rhinovirus C,Enterovirus,Picornaviridae,7010,Australia
GQ180789,Alphapapillomavirus 7,Alphapapillomavirus,Papillomaviridae,7857,Thailand
HM596272,Japanese encephalitis virus,Flavivirus,Flaviviridae,10988,Malaysia
JF913464,Enterovirus A,Enterovirus,Picornaviridae,7405,China
KC118563,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,982,Cambodia
HM241710,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2229,India
HM627320,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Chile
HM241721,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,India
JF828924,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,South Korea
JF965370,Influenza B virus,Betainfluenzavirus,Orthomyxoviridae,1401,India
JF317017,Rhinovirus C,Enterovirus,Picornaviridae,7164,China
JN617979,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1706,Thailand
JN252317,Alphapapillomavirus 10,Alphapapillomavirus,Papillomaviridae,8031,Sweden
JX826592,Hepacivirus C,Hepacivirus,Flaviviridae,9684,
JX470186,Dengue virus,Flavivirus,Flaviviridae,10723,China
EF637050,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8908,Brazil
EF637053,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8906,Brazil
EF637055,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8998,Brazil
JX887482,Human bocavirus,Bocaparvovirus,Parvoviridae,5300,China
JF912182,Yellow fever virus,Flavivirus,Flaviviridae,10860,Brazil
JX887481,Human bocavirus,Bocaparvovirus,Parvoviridae,5301,China
JX857329,Bunyamwera orthobunyavirus,Orthobunyavirus,Peribunyaviridae,4438,Kenya
JQ867462,Simian foamy virus,Spumavirus,Retroviridae,13224,Cameroon
JX898698,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Sweden
JX898699,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Sweden
JX898691,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Sweden
JX898692,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Sweden
JX898686,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Sweden
JX898687,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Sweden
MK540392,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
JX183554,Hepacivirus C,Hepacivirus,Flaviviridae,9423,Laos
JX183553,Hepacivirus C,Hepacivirus,Flaviviridae,9446,Viet Nam
JX183549,Hepacivirus C,Hepacivirus,Flaviviridae,9448,China
JQ901454,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15212,Netherlands
JQ687531,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Serbia
EF637056,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8909,Brazil
EF637057,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8917,Brazil
EF637048,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8882,Brazil
JX068833,Enterovirus A,Enterovirus,Picornaviridae,7410,China
FJ390389,Dengue virus,Flavivirus,Flaviviridae,10632,Papua New Guinea
JN860769,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8793,Thailand
MK681504,Enterovirus D,Enterovirus,Picornaviridae,7338,USA
MK681493,Enterovirus D,Enterovirus,Picornaviridae,7334,USA
KC172106,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MK681503,Enterovirus D,Enterovirus,Picornaviridae,7338,USA
MH171408,Rotavirus A,Rotavirus,Reoviridae,1566,Spain
MH171403,Rotavirus A,Rotavirus,Reoviridae,1566,Spain
MG365763,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9458,Brazil
MG365767,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9435,Brazil
MG365768,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9467,Brazil
MG365769,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9428,Brazil
MG365770,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9411,Brazil
MG365771,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9490,Brazil
JQ622197,Norwalk virus,Norovirus,Caliciviridae,7583,South Korea
GQ377604,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
HM631864,Dengue virus,Flavivirus,Flaviviridae,10539,Nicaragua
JX560520,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
HM631859,Dengue virus,Flavivirus,Flaviviridae,10539,Nicaragua
JQ027313,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Malaysia
JQ027314,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3216,Malaysia
JQ027315,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Malaysia
MK749892,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15199,Nicaragua
MK749900,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15156,Nicaragua
JQ340007,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2315,India
MK540273,Human gammaherpesvirus 4,Lymphocryptovirus,Herpesviridae,171823,China
KM034558,Zaire ebolavirus,Ebolavirus,Filoviridae,18915,Sierra Leone
KM034560,Zaire ebolavirus,Ebolavirus,Filoviridae,18952,Sierra Leone
KM034561,Zaire ebolavirus,Ebolavirus,Filoviridae,18908,Sierra Leone
KM034562,Zaire ebolavirus,Ebolavirus,Filoviridae,18957,Sierra Leone
LC360507,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Japan
JX154579,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Kenya
JX154580,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,Kenya
JX507212,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Panama
MK457701,Yellow fever virus,Flavivirus,Flaviviridae,10684,Nigeria
MH229997,Enterovirus C,Enterovirus,Picornaviridae,7316,China
MF285682,Enterovirus A,Enterovirus,Picornaviridae,7434,China
MF285681,Enterovirus A,Enterovirus,Picornaviridae,7434,China
KC456604,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1450,Canada
KJ170593,Enterovirus C,Enterovirus,Picornaviridae,7379,Nigeria
